City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,thompson,55.7435,-97.8558,-8.91,86,2.57,2.57,CA,1740527559
137,biltine,14.5333,20.9167,26.97,16,3.72,3.72,TD,1740527596
138,adamovka,51.5223,59.9396,-8.01,96,2.54,2.54,RU,1740527597
139,narbonne,43.0833,2.8333,7.79,64,8.81,8.81,FR,1740527598
140,djambala,-2.5447,14.7533,21.45,90,2.45,2.45,CG,1740527599
141,keflavik,64.0049,-22.5624,-0.76,86,5.14,5.14,IS,1740527601
142,san patricio,28.017,-97.5169,22.97,70,5.7,5.7,US,1740527602
143,mount pearl,47.5166,-52.7813,1.85,93,5.14,5.14,CA,1740527603
144,mora,11.0461,14.1401,26.27,16,2.59,2.59,CM,1740527605
145,bykhaw,53.5193,30.2469,-6.98,93,1.49,1.49,BY,1740527607
146,palikir - national government center,6.9248,158.1611,28.47,79,4.63,4.63,FM,1740527608
147,yuzhno-kurilsk,44.0306,145.8556,1.91,87,7.74,7.74,RU,1740527609
148,sao jose da coroa grande,-8.8978,-35.1478,26.31,77,4.03,4.03,BR,1740527610
149,erenhot,43.6475,111.9767,-7.9,37,4.21,4.21,CN,1740527612
150,union city,37.5958,-122.0192,20.42,54,5.14,5.14,US,1740527613
151,bodaybo,57.8506,114.1933,-10.38,95,3.02,3.02,RU,1740527615
152,ribeira grande,38.5167,-28.7,16.22,94,4.92,4.92,PT,1740527616
153,altai,46.3722,96.2583,-11.57,22,1.74,1.74,MN,1740527617
154,fort st. john,56.2499,-120.8529,4.94,56,5.14,5.14,CA,1740527618
155,ternate,0.8,127.4,26.87,79,3.5,3.5,ID,1740527619
156,acarau,-2.8856,-40.12,25.89,81,3.43,3.43,BR,1740527620
157,saipan,15.1355,145.701,27.03,77,4.92,4.92,MP,1740527621
158,le port,-20.9373,55.2919,26.05,93,4.58,4.58,RE,1740527624
159,tyuratam,45.6507,63.3156,-5.34,94,4.52,4.52,KZ,1740527625
160,devarkonda,16.7,78.9333,21.17,77,2.19,2.19,IN,1740527626
161,castillos,-34.1667,-53.8333,24.04,84,0.63,0.63,UY,1740527627
162,darwin,-12.4611,130.8418,28.99,79,2.06,2.06,AU,1740527628
163,utrik,11.2278,169.8474,27.08,82,6.54,6.54,MH,1740527629
164,port elizabeth,-33.918,25.5701,19.16,95,1.54,1.54,ZA,1740527630
165,morshansk,53.4435,41.8107,-17.65,100,1.22,1.22,RU,1740527632
166,smara,26.7384,-11.6719,16.02,52,3.83,3.83,EH,1740527633
167,nicoya,10.1483,-85.452,27.48,70,2.1,2.1,CR,1740527634
168,nagqu,31.5,92.0,-11.47,33,1.65,1.65,CN,1740527636
